"article_id","full_name","sex","birth_year","city","state","country","continent","latitude","longitude","occupation","industry","domain","article_languages","page_views","average_views","historical_popularity_index"
73515,"Sandro Botticelli","Male","1445","Florence","","Italy","Europe",43.78333,11.25,"Painter","Fine Arts","Arts",70,9514874,135927,28.3374
12963,"Giordano Bruno","Male","1548","Nola","","Italy","Europe",40.92608,14.52744,"Astronomer","Natural Sciences","Science & Technology",83,7818939,94204,28.3298
800012,"Cyrus the Great","Male","-576","Anshan","","Iran","Asia",30.01167,52.40778,"Politician","Government","Institutions",89,6836963,76820,28.3238
17740,"Louis Pasteur","Male","1822","Dole","","France","Europe",47.0931,5.4906,"Chemist","Natural Sciences","Science & Technology",116,17803458,153478,28.3177
44324,"Commodus","Male","161","Lanuvium","","Italy","Europe",41.6747,12.69758,"Politician","Government","Institutions",57,5964371,104638,28.3054
18993992,"Spartacus","Male","-109","Thrace","","Bulgaria","Europe",NA,NA,"Military Personnel","Military","Institutions",64,29683994,463812,28.2996
12775,"George Frideric Handel","Male","1685","Halle","","Germany","Europe",51.48333,11.96667,"Composer","Music","Arts",93,10717383,115241,28.2857
5233,"Carl Linnaeus","Male","1707","Råshult","","Sweden","Europe",56.618,14.202,"Biologist","Natural Sciences","Science & Technology",123,9210590,74883,28.2851
21615,"Nostradamus","Male","1503","Saint-Rémy-de-Provence","","France","Europe",43.79,4.8325,"Writer","Language","Humanities",74,22719309,307018,28.2818
47118,"Darius I of Persia","Male","-549","Other","","Iran","Asia",NA,NA,"Politician","Government","Institutions",67,3654557,54546,28.2766
34155,"Xenophon","Male","-431","Athens","","Greece","Europe",37.96667,23.71667,"Historian","History","Humanities",57,3450862,60541,28.2743
23734,"Petrarch","Male","1304","Arezzo","","Italy","Europe",43.47333,11.87,"Writer","Language","Humanities",77,7824106,101612,28.2658
12957,"Giovanni Boccaccio","Male","1313","Certaldo","","Italy","Europe",43.54778,11.04111,"Writer","Language","Humanities",77,5589596,72592,28.2525
11625,"Fyodor Dostoyevsky","Male","1821","Moscow","","Russia","Europe",55.75,37.61667,"Writer","Language","Humanities",113,13376431,118375,28.2486
31131,"Theodosius I","Male","347","Coca","Segovia","Spain","Europe",41.2167,-4.5167,"Politician","Government","Institutions",65,3904324,60067,28.2484
9840,"Elijah","Male","-3500","Tishbe","Gilead","Jordan","Asia",NA,NA,"Religious Figure","Religion","Institutions",55,5685950,103381,28.2463
58230,"Solon","Male","-638","Athens","","Greece","Europe",37.96667,23.71667,"Politician","Government","Institutions",54,4115537,76214,28.2375
52121,"Strabo","Male","-64","Amasya","","Turkey","Asia",40.65,35.83306,"Geographer","Social Sciences","Science & Technology",67,2234878,33356,28.2178
19455,"Max Weber","Male","1864","Erfurt","","Germany","Europe",50.98333,11.03333,"Sociologist","Social Sciences","Science & Technology",89,17464357,196229,28.2169
18622119,"Leo Tolstoy","Male","1828","Yasnaya Polyana","","Russia","Europe",54.07611,37.52611,"Writer","Language","Humanities",123,16181442,131556,28.2126
29823,"Thomas Hobbes","Male","1588","Malmesbury","","United Kingdom","Europe",NA,NA,"Philosopher","Philosophy","Humanities",79,13453210,170294,28.2082
242606,"Khufu","Male","-2600","Other","","Unknown","",NA,NA,"Politician","Government","Institutions",52,3397134,65330,28.2012
30864,"Thucydides","Male","-460","Alimos","","Greece","Europe",37.91667,23.71667,"Historian","History","Humanities",71,4063157,57228,28.199
12281,"Gottfried Wilhelm von Leibniz","Male","1646","Leipzig","","Germany","Europe",51.33333,12.38333,"Mathematician","Math","Science & Technology",106,7295094,68822,28.1935
19594563,"Tacitus","Male","56","Gaul","","France","Europe",46.5,2.9,"Historian","History","Humanities",67,4359911,65073,28.1906
15930,"John Calvin","Male","1509","Noyon","","France","Europe",49.5817,2.9997,"Religious Figure","Religion","Institutions",79,9406706,119072,28.177
32917,"Walt Disney","Male","1901","Chicago","IL","United States","North America",41.92,-87.73,"Producer","Business","Business & Law",113,33332870,294981,28.1723
30479,"Thomas More","Male","1478","London","","United Kingdom","Europe",51.5155,-0.0922,"Philosopher","Philosophy","Humanities",69,11761778,170461,28.1615
17900,"Le Corbusier","Male","1887","La Chaux-de-Fonds","","Switzerland","Europe",47.10133,6.825,"Architect","Design","Arts",107,13401962,125252,28.1602
32570,"Vespasian","Male","9","Falacrinae","","Italy","Europe",NA,NA,"Politician","Government","Institutions",69,4020556,58269,28.1584
16340,"Jean-Paul Sartre","Male","1905","Paris","","France","Europe",48.8567,2.3508,"Writer","Language","Humanities",106,19009595,179336,28.1531
15736,"Johannes Kepler","Male","1571","Weil der Stadt","","Germany","Europe",48.75083,8.87056,"Astronomer","Natural Sciences","Science & Technology",105,12480204,118859,28.1457
52790,"Aleksandr Pushkin","Male","1799","Moscow","","Russia","Europe",55.75,37.61667,"Writer","Language","Humanities",116,6788172,58519,28.1305
1168,"Anaximander","Male","-610","Miletus","","Turkey","Asia",37.53028,27.27833,"Philosopher","Philosophy","Humanities",70,4275744,61082,28.1212
10152,"Desiderius Erasmus","Male","1466","Rotterdam","","Netherlands","Europe",51.91667,4.5,"Philosopher","Philosophy","Humanities",69,8517572,123443,28.1211
26992,"Suleiman the Magnificent","Male","1494","Trabzon","","Turkey","Asia",41,39.73333,"Politician","Government","Institutions",87,20448629,235042,28.1209
33265,"Winston Churchill","Male","1874","Blenheim Palace","","United Kingdom","Europe",51.84194,-1.36139,"Politician","Government","Institutions",114,32842779,288095,28.1069
52346,"Nebuchadrezzar II","Male","-634","Other","","Iraq","Asia",NA,NA,"Politician","Government","Institutions",57,5540287,97198,28.0941
23575,"Parmenides","Male","-510","Velia","","Italy","Europe",40.16083,15.155,"Philosopher","Philosophy","Humanities",58,4554554,78527,28.0922
43311,"Johannes Vermeer","Male","1632","Delft","","Netherlands","Europe",52.01667,4.36667,"Painter","Fine Arts","Arts",74,9648252,130382,28.0899
405374,"Ali","Male","598","Kaaba","","Saudi Arabia","Asia",21.4225,39.82618,"Religious Figure","Religion","Institutions",84,9632569,114673,28.0897
15630,"James Cook","Male","1728","Marton","","United Kingdom","Europe",54.5406,-1.2124,"Explorer","Explorers","Exploration",115,11738304,102072,28.0893
3986,"Benjamin Franklin","Male","1706","Boston","MA","United States","North America",42.35806,-71.06361,"Politician","Government","Institutions",88,29472054,334910,28.0867
9549,"Edgar Allan Poe","Male","1809","Boston","MA","United States","North America",42.35806,-71.06361,"Writer","Language","Humanities",99,33748011,340889,28.0844
16094,"Joseph Haydn","Male","1732","Rohrau","","Austria","Europe",48.06667,16.85,"Composer","Music","Arts",83,11122433,134005,28.0808
42368,"Honoré de Balzac","Male","1799","Tours","","France","Europe",47.3936,0.6892,"Writer","Language","Humanities",82,9787362,119358,28.0715
18024,"Li Bai","Male","701","Suyab","","China","Asia",NA,NA,"Writer","Language","Humanities",102,2893988,28372,28.0664
27729289,"Giotto di Bondone","Male","1267","Florence","","Italy","Europe",43.78333,11.25,"Artist","Fine Arts","Arts",68,5544452,81536,28.0579
11968,"George Washington","Male","1732","Westmoreland County","VA","United States","North America",38.11,-76.8,"Politician","Government","Institutions",134,34838477,259989,28.046
69852,"Donatello","Male","1386","Florence","","Italy","Europe",43.78333,11.25,"Painter","Fine Arts","Arts",79,6995725,88553,28.0258
29778,"Thomas Edison","Male","1847","Milan","OH","United States","North America",41.29333,-82.60139,"Inventor","Invention","Science & Technology",126,38631687,306601,28.0222
12326,"Galen","Male","130","Pergamon","","Turkey","Asia",39.1325,27.18417,"Physician","Medicine","Science & Technology",73,4392712,60174,28.019
154239,"Titian","Male","1485","Pieve di Cadore","","Italy","Europe",46.43333,12.36667,"Painter","Fine Arts","Arts",67,7560886,112849,28.0174
3408,"Baruch Spinoza","Male","1632","Amsterdam","","Netherlands","Europe",52.36667,4.9,"Philosopher","Philosophy","Humanities",84,8686774,103414,28.0143
